,Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Gender_Male,Married_Yes,Self_Employed_Yes,Loan_Status_Y,Total_income
87,0,1,2500,2118.0,104.0,360.0,1.0,2,1,1,0,1,4618.0
88,0,1,8566,0.0,210.0,360.0,1.0,3,1,0,0,1,8566.0
89,0,1,5695,4167.0,175.0,360.0,1.0,2,1,1,0,1,9862.0
90,0,1,2958,2900.0,131.0,360.0,1.0,2,1,1,0,1,5858.0
91,2,1,6250,5654.0,188.0,180.0,1.0,2,1,1,0,1,11904.0
92,2,0,3273,1820.0,81.0,360.0,1.0,3,1,1,0,1,5093.0
93,0,1,4133,0.0,122.0,360.0,1.0,2,1,0,0,1,4133.0
94,0,0,3620,0.0,25.0,120.0,1.0,2,1,0,0,1,3620.0
95,0,1,6782,0.0,146.41216216216216,360.0,0.8421985815602837,3,1,0,0,0,6782.0
96,0,1,2484,2302.0,137.0,360.0,1.0,2,0,1,0,1,4786.0
97,0,1,1977,997.0,50.0,360.0,1.0,2,1,1,0,1,2974.0
98,0,0,4188,0.0,115.0,180.0,1.0,2,1,1,0,1,4188.0
99,0,1,1759,3541.0,131.0,360.0,1.0,2,1,1,0,1,5300.0
100,2,0,4288,3263.0,133.0,180.0,1.0,3,1,1,0,1,7551.0
101,0,1,4843,3806.0,151.0,360.0,1.0,2,1,0,0,1,8649.0
102,0,1,13650,0.0,146.41216216216216,360.0,1.0,3,1,1,0,1,13650.0
103,0,1,4652,3583.0,146.41216216216216,360.0,1.0,2,1,1,0,1,8235.0
104,0,1,3816,754.0,160.0,360.0,1.0,3,1,1,0,1,4570.0
105,1,1,3052,1030.0,100.0,360.0,1.0,3,1,1,0,1,4082.0
106,2,1,11417,1126.0,225.0,360.0,1.0,3,1,1,0,1,12543.0
107,0,0,7333,0.0,120.0,360.0,1.0,1,1,0,0,0,7333.0
108,2,1,3800,3600.0,216.0,360.0,0.0,3,1,1,0,0,7400.0
109,3,0,2071,754.0,94.0,480.0,1.0,2,1,1,0,1,2825.0
110,0,1,5316,0.0,136.0,360.0,1.0,3,1,0,0,1,5316.0
111,0,1,2929,2333.0,139.0,360.0,1.0,2,0,1,0,1,5262.0
112,0,0,3572,4114.0,152.0,342.0,0.0,1,1,1,0,0,7686.0
113,1,1,7451,0.0,146.41216216216216,360.0,1.0,2,0,0,1,1,7451.0
114,0,1,5050,0.0,118.0,360.0,1.0,2,1,0,0,1,5050.0
115,1,1,14583,0.0,185.0,180.0,1.0,1,1,1,0,1,14583.0
116,0,1,3167,2283.0,154.0,360.0,1.0,2,0,1,0,1,5450.0
117,1,1,2214,1398.0,85.0,360.0,0.8421985815602837,3,1,1,0,1,3612.0
118,0,1,5568,2142.0,175.0,360.0,1.0,1,1,1,0,0,7710.0
119,0,1,10408,0.0,259.0,360.0,1.0,3,0,0,0,1,10408.0
120,0,1,5667,2667.0,180.0,360.0,1.0,1,1,1,0,1,8334.0
121,0,1,4166,0.0,44.0,360.0,1.0,2,0,0,0,1,4166.0
122,0,1,2137,8980.0,137.0,360.0,0.0,2,0,0,0,1,11117.0
123,2,1,2957,0.0,81.0,360.0,1.0,2,1,1,0,1,2957.0
124,0,0,4300,2014.0,194.0,360.0,1.0,1,1,1,0,1,6314.0
125,0,1,3692,0.0,93.0,360.0,0.8421985815602837,1,0,0,0,1,3692.0
126,3,1,23803,0.0,370.0,360.0,1.0,1,1,1,0,1,23803.0
127,0,1,3865,1640.0,146.41216216216216,360.0,1.0,1,1,0,0,1,5505.0
128,1,1,10513,3850.0,160.0,180.0,0.0,3,1,1,1,0,14363.0
129,0,1,6080,2569.0,182.0,360.0,0.8421985815602837,1,1,1,0,0,8649.0
130,0,1,20166,0.0,650.0,480.0,0.8421985815602837,3,1,0,1,1,20166.0
131,0,1,2014,1929.0,74.0,360.0,1.0,3,1,0,0,1,3943.0
132,0,1,2718,0.0,70.0,360.0,1.0,2,1,0,0,1,2718.0
133,0,1,3459,0.0,25.0,120.0,1.0,2,1,1,1,1,3459.0
134,0,1,4895,0.0,102.0,360.0,1.0,2,1,0,0,1,4895.0
135,3,1,4000,7750.0,290.0,360.0,1.0,2,1,1,0,0,11750.0
136,0,1,4583,0.0,84.0,360.0,1.0,1,0,1,0,0,4583.0
137,2,1,3316,3500.0,88.0,360.0,1.0,3,1,1,1,1,6816.0
138,0,1,14999,0.0,242.0,360.0,0.0,2,1,0,0,0,14999.0
139,2,0,4200,1430.0,129.0,360.0,1.0,1,1,1,0,0,5630.0
140,2,1,5042,2083.0,185.0,360.0,1.0,1,1,1,0,0,7125.0
141,0,1,5417,0.0,168.0,360.0,1.0,3,1,0,0,1,5417.0
142,0,1,6950,0.0,175.0,180.0,1.0,2,1,0,1,1,6950.0
143,0,1,2698,2034.0,122.0,360.0,1.0,2,1,1,0,1,4732.0
144,2,1,11757,0.0,187.0,180.0,1.0,3,1,1,0,1,11757.0
145,0,1,2330,4486.0,100.0,360.0,1.0,2,0,1,0,1,6816.0
146,2,1,14866,0.0,70.0,360.0,1.0,3,0,1,0,1,14866.0
147,1,1,1538,1425.0,30.0,360.0,1.0,3,1,1,0,1,2963.0
148,0,1,10000,1666.0,225.0,360.0,1.0,1,0,0,0,0,11666.0
149,0,1,4860,830.0,125.0,360.0,1.0,2,1,1,0,1,5690.0
150,0,1,6277,0.0,118.0,360.0,0.0,1,1,0,0,0,6277.0
151,0,1,2577,3750.0,152.0,360.0,1.0,1,1,1,1,1,6327.0
152,0,1,9166,0.0,244.0,360.0,1.0,3,1,0,0,0,9166.0
153,2,0,2281,0.0,113.0,360.0,1.0,1,1,1,0,0,2281.0
154,0,1,3254,0.0,50.0,360.0,1.0,3,1,0,0,1,3254.0
155,3,1,39999,0.0,600.0,180.0,0.0,2,1,1,0,1,39999.0
156,1,1,6000,0.0,160.0,360.0,0.8421985815602837,1,1,1,0,1,6000.0
157,1,1,9538,0.0,187.0,360.0,1.0,3,1,1,0,1,9538.0
158,0,1,2980,2083.0,120.0,360.0,1.0,1,1,0,0,1,5063.0
159,0,1,4583,5625.0,255.0,360.0,1.0,2,1,1,0,1,10208.0
160,0,0,1863,1041.0,98.0,360.0,1.0,2,1,1,0,1,2904.0
161,0,1,7933,0.0,275.0,360.0,1.0,3,1,1,0,0,7933.0
162,1,1,3089,1280.0,121.0,360.0,0.0,2,1,1,0,0,4369.0
163,2,1,4167,1447.0,158.0,360.0,1.0,1,1,1,0,1,5614.0
164,0,1,9323,0.0,75.0,180.0,1.0,3,1,1,0,1,9323.0
165,0,1,3707,3166.0,182.0,342.0,1.0,1,1,1,0,1,6873.0
166,0,1,4583,0.0,112.0,360.0,1.0,1,0,1,0,0,4583.0
167,0,1,2439,3333.0,129.0,360.0,1.0,1,1,1,0,1,5772.0
168,0,1,2237,0.0,63.0,480.0,0.0,2,1,0,0,0,2237.0
169,2,1,8000,0.0,200.0,360.0,1.0,2,1,1,0,1,8000.0
170,0,0,1820,1769.0,95.0,360.0,1.0,1,1,1,0,1,3589.0
171,3,1,51763,0.0,700.0,300.0,1.0,3,1,1,0,1,51763.0
172,3,0,3522,0.0,81.0,180.0,1.0,1,1,1,0,0,3522.0
173,0,1,5708,5625.0,187.0,360.0,1.0,2,1,1,0,1,11333.0
174,0,0,4344,736.0,87.0,360.0,1.0,2,1,1,1,0,5080.0
175,0,1,3497,1964.0,116.0,360.0,1.0,1,1,1,0,1,5461.0
176,2,1,2045,1619.0,101.0,360.0,1.0,1,1,1,0,1,3664.0
177,3,1,5516,11300.0,495.0,360.0,0.0,2,1,1,0,0,16816.0
178,1,1,3750,0.0,116.0,360.0,1.0,2,1,1,0,1,3750.0
179,0,0,2333,1451.0,102.0,480.0,0.0,3,1,0,0,0,3784.0
180,1,1,6400,7250.0,180.0,360.0,0.0,3,1,1,0,0,13650.0
181,0,1,1916,5063.0,67.0,360.0,0.8421985815602837,1,1,0,0,0,6979.0
182,0,1,4600,0.0,73.0,180.0,1.0,2,1,1,0,1,4600.0
183,1,1,33846,0.0,260.0,360.0,1.0,2,1,1,0,0,33846.0
184,0,1,3625,0.0,108.0,360.0,1.0,2,0,1,0,1,3625.0
185,0,1,39147,4750.0,120.0,360.0,1.0,2,1,1,1,1,43897.0
186,1,1,2178,0.0,66.0,300.0,0.0,1,1,1,1,0,2178.0
187,0,1,2383,2138.0,58.0,360.0,0.8421985815602837,1,1,1,0,1,4521.0
188,0,1,674,5296.0,168.0,360.0,1.0,1,1,1,1,1,5970.0
189,0,1,9328,0.0,188.0,180.0,1.0,1,1,1,0,1,9328.0
190,0,0,4885,0.0,48.0,360.0,1.0,1,1,0,0,1,4885.0
191,0,1,12000,0.0,164.0,360.0,1.0,2,1,0,0,0,12000.0
192,0,0,6033,0.0,160.0,360.0,1.0,3,1,1,0,0,6033.0
193,0,1,3858,0.0,76.0,360.0,1.0,2,1,0,0,1,3858.0
194,0,1,4191,0.0,120.0,360.0,1.0,1,1,0,0,1,4191.0
195,1,1,3125,2583.0,170.0,360.0,1.0,2,1,1,0,0,5708.0
196,0,1,8333,3750.0,187.0,360.0,1.0,1,1,0,0,1,12083.0
197,0,0,1907,2365.0,120.0,342.0,1.0,3,0,0,0,1,4272.0
198,0,1,3416,2816.0,113.0,360.0,0.8421985815602837,2,0,1,0,1,6232.0
199,0,1,11000,0.0,83.0,360.0,1.0,3,1,0,1,0,11000.0
200,1,0,2600,2500.0,90.0,360.0,1.0,2,1,1,0,1,5100.0
201,2,1,4923,0.0,166.0,360.0,0.0,2,1,0,0,1,4923.0
202,3,0,3992,0.0,146.41216216216216,180.0,1.0,3,1,1,0,0,3992.0
203,1,0,3500,1083.0,135.0,360.0,1.0,3,1,1,0,1,4583.0
204,2,0,3917,0.0,124.0,360.0,1.0,2,1,1,0,1,3917.0
205,0,0,4408,0.0,120.0,360.0,1.0,2,0,0,0,1,4408.0
206,0,1,3244,0.0,80.0,360.0,1.0,3,0,0,0,1,3244.0
207,0,0,3975,2531.0,55.0,360.0,1.0,1,1,0,0,1,6506.0
208,0,1,2479,0.0,59.0,360.0,1.0,3,1,0,0,1,2479.0
209,0,1,3418,0.0,127.0,360.0,1.0,2,1,0,0,0,3418.0
210,0,1,10000,0.0,214.0,360.0,1.0,2,0,0,0,0,10000.0
211,3,1,3430,1250.0,128.0,360.0,0.0,2,1,1,0,0,4680.0
212,1,1,7787,0.0,240.0,360.0,1.0,3,1,1,1,1,7787.0
213,3,0,5703,0.0,130.0,360.0,1.0,1,1,1,1,1,5703.0
214,0,1,3173,3021.0,137.0,360.0,1.0,3,1,1,0,1,6194.0
215,3,0,3850,983.0,100.0,360.0,1.0,2,1,1,0,1,4833.0
216,0,1,150,1800.0,135.0,360.0,1.0,1,1,1,0,0,1950.0
217,0,1,3727,1775.0,131.0,360.0,1.0,2,1,1,0,1,5502.0
218,2,1,5000,0.0,72.0,360.0,0.0,2,1,1,0,0,5000.0
219,2,1,4283,2383.0,127.0,360.0,0.8421985815602837,2,0,1,0,1,6666.0
220,0,1,2221,0.0,60.0,360.0,0.0,3,1,1,0,0,2221.0
221,2,1,4009,1717.0,116.0,360.0,1.0,2,1,1,0,1,5726.0
222,0,1,2971,2791.0,144.0,360.0,1.0,2,1,0,0,1,5762.0
223,0,1,7578,1010.0,175.0,342.0,1.0,2,1,1,0,1,8588.0
224,0,1,6250,0.0,128.0,360.0,1.0,2,1,1,0,1,6250.0
225,0,1,3250,0.0,170.0,360.0,1.0,1,1,1,0,0,3250.0
226,0,0,4735,0.0,138.0,360.0,1.0,3,1,1,1,0,4735.0
227,2,1,6250,1695.0,210.0,360.0,1.0,2,1,1,0,1,7945.0
228,0,1,4758,0.0,158.0,480.0,1.0,2,1,1,0,1,4758.0
229,0,1,6400,0.0,200.0,360.0,1.0,1,1,0,1,1,6400.0
230,1,1,2491,2054.0,104.0,360.0,1.0,2,1,1,0,1,4545.0
231,0,1,3716,0.0,42.0,180.0,1.0,1,1,1,0,1,3716.0
232,0,0,3189,2598.0,120.0,342.0,1.0,1,1,0,0,1,5787.0
233,0,1,8333,0.0,280.0,360.0,1.0,2,0,0,0,1,8333.0
234,1,1,3155,1779.0,140.0,360.0,1.0,2,1,1,0,1,4934.0
235,1,1,5500,1260.0,170.0,360.0,1.0,1,1,1,0,1,6760.0
236,0,1,5746,0.0,255.0,360.0,0.8421985815602837,3,1,1,0,0,5746.0
237,0,1,3463,0.0,122.0,360.0,0.8421985815602837,3,0,0,1,1,3463.0
238,1,1,3812,0.0,112.0,360.0,1.0,1,0,0,0,1,3812.0
239,1,1,3315,0.0,96.0,360.0,1.0,2,1,1,0,1,3315.0
240,2,1,5819,5000.0,120.0,360.0,1.0,1,1,1,0,1,10819.0
241,1,0,2510,1983.0,140.0,180.0,1.0,3,1,1,0,0,4493.0
242,0,1,2965,5701.0,155.0,60.0,1.0,3,1,0,0,1,8666.0
243,2,1,6250,1300.0,108.0,360.0,1.0,1,1,1,1,1,7550.0
244,0,0,3406,4417.0,123.0,360.0,1.0,2,1,1,0,1,7823.0
245,0,1,6050,4333.0,120.0,180.0,1.0,3,1,0,1,0,10383.0
246,2,1,9703,0.0,112.0,360.0,1.0,3,1,1,0,1,9703.0
247,1,0,6608,0.0,137.0,180.0,1.0,3,1,1,0,1,6608.0
248,1,1,2882,1843.0,123.0,480.0,1.0,2,1,1,0,1,4725.0
249,0,1,1809,1868.0,90.0,360.0,1.0,3,1,1,0,1,3677.0
250,0,0,1668,3890.0,201.0,360.0,0.0,2,1,1,0,0,5558.0
251,2,1,3427,0.0,138.0,360.0,1.0,3,0,0,0,0,3427.0
252,0,0,2583,2167.0,104.0,360.0,1.0,1,1,0,1,1,4750.0
253,1,0,2661,7101.0,279.0,180.0,1.0,2,1,1,0,1,9762.0
254,0,1,16250,0.0,192.0,360.0,0.0,3,1,0,1,0,16250.0
255,3,1,3083,0.0,255.0,360.0,1.0,1,0,0,0,1,3083.0
256,0,0,6045,0.0,115.0,360.0,0.0,1,1,0,0,0,6045.0
257,3,1,5250,0.0,94.0,360.0,1.0,3,1,1,0,0,5250.0
258,0,1,14683,2100.0,304.0,360.0,1.0,1,1,1,0,0,16783.0
259,3,0,4931,0.0,128.0,360.0,0.8421985815602837,2,1,1,0,0,4931.0
260,1,1,6083,4250.0,330.0,360.0,0.8421985815602837,3,1,1,0,1,10333.0
261,0,1,2060,2209.0,134.0,360.0,1.0,2,1,0,0,1,4269.0
262,1,1,3481,0.0,155.0,36.0,1.0,2,0,0,0,0,3481.0
263,0,1,7200,0.0,120.0,360.0,1.0,1,0,0,0,1,7200.0
264,0,1,5166,0.0,128.0,360.0,1.0,2,1,0,1,1,5166.0
265,0,1,4095,3447.0,151.0,360.0,1.0,1,1,0,0,1,7542.0
266,2,1,4708,1387.0,150.0,360.0,1.0,2,1,1,0,1,6095.0
267,3,1,4333,1811.0,160.0,360.0,0.0,3,1,1,0,1,6144.0
268,0,1,3418,0.0,135.0,360.0,1.0,1,0,0,0,0,3418.0
269,1,1,2876,1560.0,90.0,360.0,1.0,3,0,0,0,1,4436.0
270,0,1,3237,0.0,30.0,360.0,1.0,3,0,0,0,1,3237.0
271,0,1,11146,0.0,136.0,360.0,1.0,3,1,1,0,1,11146.0
272,0,1,2833,1857.0,126.0,360.0,1.0,1,1,0,0,1,4690.0
273,0,1,2620,2223.0,150.0,360.0,1.0,2,1,1,0,1,4843.0
274,2,1,3900,0.0,90.0,360.0,1.0,2,1,1,0,1,3900.0
275,1,1,2750,1842.0,115.0,360.0,1.0,2,1,1,0,1,4592.0
276,0,1,3993,3274.0,207.0,360.0,1.0,2,1,1,0,1,7267.0
277,0,1,3103,1300.0,80.0,360.0,1.0,3,1,1,0,1,4403.0
278,0,1,14583,0.0,436.0,360.0,1.0,2,1,1,0,1,14583.0
279,0,0,4100,0.0,124.0,360.0,0.8421985815602837,1,0,1,0,1,4100.0
280,1,0,4053,2426.0,158.0,360.0,0.0,3,1,0,1,0,6479.0
281,0,1,3927,800.0,112.0,360.0,1.0,2,1,1,0,1,4727.0
282,2,1,2301,985.7999877999998,78.0,180.0,1.0,3,1,1,0,1,3286.7999878
283,0,1,1811,1666.0,54.0,360.0,1.0,3,0,0,0,1,3477.0
284,0,1,20667,0.0,146.41216216216216,360.0,1.0,1,1,1,0,0,20667.0
285,0,1,3158,3053.0,89.0,360.0,1.0,1,1,0,0,1,6211.0
286,0,1,2600,1717.0,99.0,300.0,1.0,2,0,0,1,0,4317.0
287,0,1,3704,2000.0,120.0,360.0,1.0,1,1,1,0,1,5704.0
288,0,1,4124,0.0,115.0,360.0,1.0,2,0,0,0,1,4124.0
289,0,1,9508,0.0,187.0,360.0,1.0,1,1,0,0,1,9508.0
290,0,1,3075,2416.0,139.0,360.0,1.0,1,1,1,0,1,5491.0
291,2,1,4400,0.0,127.0,360.0,0.0,2,1,1,0,0,4400.0
292,2,1,3153,1560.0,134.0,360.0,1.0,3,1,1,0,1,4713.0
293,0,1,5417,0.0,143.0,480.0,0.0,3,0,0,0,0,5417.0
294,0,1,2383,3334.0,172.0,360.0,1.0,2,1,1,0,1,5717.0
295,3,1,4416,1250.0,110.0,360.0,1.0,3,1,1,0,1,5666.0
296,1,1,6875,0.0,200.0,360.0,1.0,2,1,1,0,1,6875.0
297,1,1,4666,0.0,135.0,360.0,1.0,3,0,1,0,1,4666.0
298,0,1,5000,2541.0,151.0,480.0,1.0,1,0,0,0,0,7541.0
299,1,1,2014,2925.0,113.0,360.0,1.0,3,1,1,0,0,4939.0
300,0,0,1800,2934.0,93.0,360.0,0.0,3,1,1,0,0,4734.0
301,0,0,2875,1750.0,105.0,360.0,1.0,2,1,1,0,1,4625.0
302,0,1,5000,0.0,132.0,360.0,1.0,1,0,0,0,1,5000.0
303,1,1,1625,1803.0,96.0,360.0,1.0,3,1,1,0,1,3428.0
304,0,1,4000,2500.0,140.0,360.0,1.0,1,1,0,0,1,6500.0
305,0,0,2000,0.0,146.41216216216216,360.0,1.0,3,1,0,0,0,2000.0
306,0,1,3762,1666.0,135.0,360.0,1.0,1,0,0,0,1,5428.0
307,0,1,2400,1863.0,104.0,360.0,0.0,3,0,0,0,0,4263.0
308,0,1,20233,0.0,480.0,360.0,1.0,1,1,0,0,0,20233.0
309,2,0,7667,0.0,185.0,360.0,0.8421985815602837,1,1,1,0,1,7667.0
310,0,1,2917,0.0,84.0,360.0,1.0,2,0,0,0,1,2917.0
311,0,0,2927,2405.0,111.0,360.0,1.0,2,1,0,0,1,5332.0
312,0,1,2507,0.0,56.0,360.0,1.0,1,0,0,0,1,2507.0
313,2,1,5746,0.0,144.0,84.0,0.8421985815602837,1,1,1,1,1,5746.0
314,0,1,2473,1843.0,159.0,360.0,1.0,1,1,1,0,0,4316.0
315,1,0,3399,1640.0,111.0,180.0,1.0,3,1,1,0,1,5039.0
316,2,1,3717,0.0,120.0,360.0,1.0,2,1,1,0,1,3717.0
317,0,1,2058,2134.0,88.0,360.0,0.8421985815602837,3,1,1,0,1,4192.0
318,1,1,3541,0.0,112.0,360.0,0.8421985815602837,2,0,0,0,1,3541.0
319,1,1,10000,0.0,155.0,360.0,1.0,1,1,1,1,0,10000.0
320,0,1,2400,2167.0,115.0,360.0,1.0,2,1,1,0,1,4567.0
321,3,1,4342,189.0,124.0,360.0,1.0,2,1,1,0,1,4531.0
322,2,0,3601,1590.0,146.41216216216216,360.0,1.0,1,1,1,0,1,5191.0
323,0,1,3166,2985.0,132.0,360.0,0.8421985815602837,1,0,0,0,1,6151.0
324,3,1,15000,0.0,300.0,360.0,1.0,1,1,1,0,1,15000.0
325,1,1,8666,4983.0,376.0,360.0,0.0,1,1,1,1,0,13649.0
326,0,1,4917,0.0,130.0,360.0,0.0,1,1,0,0,1,4917.0
327,0,1,5818,2160.0,184.0,360.0,1.0,2,1,1,1,1,7978.0
328,0,1,4333,2451.0,110.0,360.0,1.0,3,0,1,0,0,6784.0
329,0,1,2500,0.0,67.0,360.0,1.0,3,0,0,0,1,2500.0
330,1,1,4384,1793.0,117.0,360.0,1.0,3,1,0,0,1,6177.0
331,0,1,2935,0.0,98.0,360.0,1.0,2,1,0,0,1,2935.0
332,0,1,2833,0.0,71.0,360.0,1.0,3,1,0,0,1,2833.0
333,0,1,63337,0.0,490.0,180.0,1.0,3,1,1,0,1,63337.0
334,1,1,9833,1833.0,182.0,180.0,1.0,3,1,1,1,1,11666.0
